Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
tie,9,41,15,51.0,71.0,94.0,64.0
home_win,5,0,1,121.0,69.0,29.0,44.0
home_win,0,0,0,187.0,107.0,113.0,85.0
away_win,0,0,0,15.0,100.0,63.0,77.0
away_win,0,0,1,107.0,108.0,106.0,89.0
away_win,1,0,0,161.0,140.0,101.0,133.0
home_win,10,2,7,138.0,136.0,20.0,44.0
tie,2,1,2,66.0,113.0,60.0,109.0
tie,0,0,0,123.0,121.0,37.0,87.0
home_win,0,0,0,145.0,69.0,209.0,129.0
away_win,1,3,2,53.0,90.0,69.0,39.0
home_win,13,4,3,22.0,21.0,22.0,28.0
home_win,0,0,1,22.0,32.0,7.0,24.0
away_win,0,4,0,37.0,106.0,142.0,79.0
home_win,0,0,1,90.0,103.0,81.0,51.0
home_win,11,3,4,134.0,96.0,27.0,42.0
away_win,0,1,1,100.0,70.0,44.0,73.0
tie,1,0,2,136.0,76.0,92.0,125.0
away_win,0,1,0,45.0,112.0,116.0,83.0
tie,1,0,0,39.0,38.0,105.0,94.0
away_win,1,1,1,62.0,89.0,64.0,67.0
tie,4,11,8,127.0,106.0,184.0,142.0
home_win,6,15,5,71.0,53.0,13.0,41.0
home_win,4,4,1,29.0,20.0,14.0,15.0
tie,0,1,0,22.0,53.0,102.0,100.0
home_win,1,0,1,63.0,75.0,53.0,75.0
tie,0,0,0,109.0,90.0,164.0,125.0
away_win,1,4,0,100.0,87.0,131.0,96.0
home_win,1,1,2,92.0,147.0,45.0,184.0
home_win,0,0,0,195.0,86.0,110.0,73.0
home_win,4,1,0,41.0,46.0,14.0,16.0
tie,0,7,1,29.0,39.0,165.0,54.0
tie,8,9,7,105.0,148.0,116.0,88.0
home_win,5,1,4,149.0,75.0,139.0,124.0
away_win,3,0,2,108.0,85.0,128.0,86.0
home_win,2,1,0,60.0,95.0,51.0,65.0
away_win,1,5,1,72.0,71.0,111.0,95.0
home_win,0,1,0,11.0,19.0,12.0,14.0
home_win,1,1,0,78.0,90.0,12.0,163.0
away_win,2,3,0,89.0,118.0,66.0,72.0
away_win,0,0,1,56.0,58.0,138.0,101.0
home_win,0,0,0,85.0,81.0,135.0,87.0
tie,17,21,7,88.0,135.0,125.0,130.0
tie,0,1,0,124.0,95.0,182.0,122.0
tie,2,3,0,50.0,153.0,105.0,102.0
home_win,13,6,2,57.0,63.0,19.0,52.0
away_win,0,2,1,43.0,165.0,75.0,39.0
home_win,8,4,5,186.0,134.0,99.0,96.0
tie,1,0,1,27.0,22.0,141.0,101.0
tie,3,2,1,195.0,102.0,118.0,91.0
